"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle"
"FF","2024-09-28","99.2","0.42","6.23","Judge, Aaron",592450,547973,,"called_strike",,,,,8,"Aaron Judge strikes out swinging.","R","R","L","NYY","PIT","S",,,2,0,2024,"0.4","1.7","-0.1","2.38",665828,542932,665742,1,9,"Bot",,,,,,,-2.3971759884632915,-144.13986275651092,-9.147997194951571,6.125105616679193,37.90763435929606,-6.515661813559587,"4","1.95",,,,"100.2",2560,"7.2",745685,518735,669707,694377,643396,693304,695257,665833,641943,"53.29",,,,,,,,77,3,"4-Seam Fastball",4,9,4,9,9,4,4,9,"Standard","Standard",166,"0","-0.181",,,,"0.181",,-5,-5,"0.041","0.041",36,32,36,32,1,4,1,2,,7,"0.65","0.4","-0.4","52.1"
"FF","2024-09-28","96.6","-1.78","6.09","Judge, Aaron",592450,670280,,"swinging_strike",,,,,3,"Aaron Judge strikes out on a foul tip.","R","R","R","NYY","PIT","S",,,1,0,2024,"-0.72","1.7","0.45","4.12",,542932,691176,1,6,"Bot",,,,,,,7.62485978041972,-140.4910428298601,-3.5494405487438763,-11.364577031539064,34.02716283738749,-9.082384072905418,"4","1.8",,,,"96.9",2395,"6.6",745685,518735,669707,694377,643396,693304,695257,665833,641943,"53.88",,,,,,,,47,2,"4-Seam Fastball",1,6,1,6,6,1,1,6,"Standard","Standard",209,"0","-0.105","78.0","7.7",,"0.105",,-5,-5,"0.074","0.074",29,32,30,32,1,2,2,2,,7,"0.76","0.72","0.72","41.5"
"SL","2024-09-28","88.8","-0.02","6.34","Judge, Aaron",592450,547973,,"ball",,,,,13,"Aaron Judge strikes out swinging.","R","R","L","NYY","PIT","B",,,1,0,2024,"-0.98","0.48","-1.53","1.94",665828,542932,665742,1,9,"Bot",,,,,,,-1.665651285785911,-129.19734841873145,-5.792639321426275,-10.541174728792575,28.443271564794713,-25.78511176309641,"4","1.91",,,,"90.5",2325,"7.5",745685,518735,669707,694377,643396,693304,695257,665833,641943,"53.02",,,,,,,,77,2,"Slider",4,9,4,9,9,4,4,9,"Standard","Standard",243,"0","0.17",,,,"-0.17",,-5,-5,"0.041","0.041",36,32,36,32,1,4,1,2,,7,"2.43","-0.98","0.98","58.1"
"SL","2024-09-28","86.4","-2.51","5.85","Judge, Aaron",592450,642701,,"called_strike",,,,,8,"Aaron Judge called out on strikes.","R","R","R","NYY","PIT","S",,,0,1,2024,"0.29","0.39","-0.04","2.16",,,,0,8,"Bot",,,,,,,5.265756380493775,-125.80073883958327,-3.4239471722150077,2.1473577816352623,22.863654414827415,-27.545058720077442,"4","1.89",,,,"86.3",2568,"5.9",745685,518735,669707,694377,643396,693304,695257,665833,641943,"54.56",,,,,,,,62,2,"Slider",3,6,3,6,6,3,3,6,"Standard","Standard",144,"0","-0.049",,,,"0.049",,-3,-3,"0.079","0.079",28,32,28,32,1,3,1,2,,7,"2.63","-0.29","-0.29","28.9"
"FC","2024-09-28","89","-2.36","5.97","Judge, Aaron",592450,642701,,"foul",,,,,8,"Aaron Judge called out on strikes.","R","R","R","NYY","PIT","S",,,0,0,2024,"0.08","1.05","0.18","2.33",,,,0,8,"Bot",,,,,,,6.0509776744842,-129.54875068575734,-5.144513658822712,-0.28014199276516977,24.458362570791596,-19.43996741413641,"4","1.8",168,"81.4",63,"88.8",2618,"5.9",745685,518735,669707,694377,643396,693304,695257,665833,641943,"54.56",,,,,,,,62,1,"Cutter",3,6,3,6,6,3,3,6,"Standard","Standard",202,"0","-0.033","80.5","8.8",,"0.033","88.0",-3,-3,"0.079","0.079",28,32,28,32,1,3,1,2,,7,"1.8","-0.08","-0.08","30.1"
"CU","2024-09-28","75.6","-2.03","5.95","Judge, Aaron",592450,670280,,"ball",,,,,13,"Aaron Judge strikes out on a foul tip.","R","R","R","NYY","PIT","B",,,0,0,2024,"0.72","-0.88","-1.62","3.01",,542932,691176,1,6,"Bot",,,,,,,-0.4182749820212866,-109.96173531432282,2.6146935132830964,5.8536671130625315,21.234904939375017,-40.027990085904925,"4.17","1.96",,,,"75.2",2273,"6.3",745685,518735,669707,694377,643396,693304,695257,665833,641943,"54.25",,,,,,,,47,1,"Curveball",1,6,1,6,6,1,1,6,"Standard","Standard",53,"0","0.058",,,,"-0.058",,-5,-5,"0.074","0.074",29,32,30,32,1,2,2,2,,7,"4.9","-0.72","-0.72","36.0"
"FF","2024-09-28","99.7","0.62","6.31","Judge, Aaron",592450,547973,,"ball",,,,,12,"Aaron Judge strikes out swinging.","R","R","L","NYY","PIT","B",,,0,0,2024,"0.27","1.51","0.46","4.18",665828,542932,665742,1,9,"Bot",,,,,,,-1.1019759631311596,-145.15553928038622,-4.030087357084625,4.045806304010229,37.10707010562182,-10.125977881615766,"4","1.81",,,,"100.7",2482,"7",745685,518735,669707,694377,643396,693304,695257,665833,641943,"53.46",,,,,,,,77,1,"4-Seam Fastball",4,9,4,9,9,4,4,9,"Standard","Standard",158,"0","0.106",,,,"-0.106",,-5,-5,"0.041","0.041",36,32,36,32,1,4,1,2,,7,"0.79","0.27","-0.27","48.7"
"ST","2024-09-26","86.8","-1.1","5.87","Judge, Aaron",592450,669203,"walk","blocked_ball",,,,,14,"Aaron Judge walks.","R","R","R","NYY","BAL","B",,,3,2,2024,"1.18","0.32","1.31","0.67",,,,0,4,"Bot",,,,,,,3.379232821774186,-126.32887504260846,-6.964354832379039,11.975924937939105,25.732127587965746,-27.558831951564756,"3.93","1.68",,,,"87.6",3039,"6.8",745691,543510,656811,676059,602104,683002,681297,656775,623993,"53.74",,0.689131,"0.7",1,0,0,,25,6,"Sweeper",1,0,1,0,0,1,1,0,"Standard","Standard",62,"0.033","0.333",,,,"-0.333",,1,1,"0.69","0.69",29,32,30,32,2,1,6,1,5,2,"2.71","-1.18","-1.18","37.7"
"SI","2024-09-26","97.8","-0.88","6.03","Judge, Aaron",592450,669203,,"called_strike",,,,,5,"Aaron Judge walks.","R","R","R","NYY","BAL","S",,,3,1,2024,"-1.01","1.1","-0.04","2.74",,,,0,4,"Bot",,,,,,,4.636224894864152,-142.30940288449762,-5.956701772199439,-14.802605500477993,31.995272357694308,-15.997524279189212,"3.91","1.8",,,,"98.4",2609,"6.6",745691,543510,656811,676059,602104,683002,681297,656775,623993,"53.93",,,,,,,,25,5,"Sinker",1,0,1,0,0,1,1,0,"Standard","Standard",201,"0","-0.076",,,,"0.076",,1,1,"0.69","0.69",29,32,30,32,2,1,6,1,5,2,"1.27","1.01","1.01","41.3"
"FC","2024-09-26","94.9","-0.9","6.08","Judge, Aaron",592450,669203,,"ball",,,,,14,"Aaron Judge walks.","R","R","R","NYY","BAL","B",,,2,1,2024,"0.53","0.69","1.02","1.6",,,,0,4,"Bot",,,,,,,3.829922675354005,-138.0051762971949,-7.599194492371605,5.891720663539595,30.982949485368458,-21.851744261162438,"3.88","1.83",,,,"95.1",2834,"6.5",745691,543510,656811,676059,602104,683002,681297,656775,623993,"54.03",,,,,,,,25,4,"Cutter",1,0,1,0,0,1,1,0,"Standard","Standard",172,"0","0.11",,,,"-0.11",,1,1,"0.69","0.69",29,32,30,32,2,1,6,1,5,2,"1.85","-0.53","-0.53","42.8"
